INFORMED,SOURCES,DEHUMAN,ROBOREPLACE,SOLVE_MANY,TIME_EFFICIENT,SOLVE_EFFICIENT,VOTE_IMPACT,ETHICAL_CONCERN,AI_FEEL,MAIN_NEWS,GENDER,YEAR_OF_STUDY,AREA_OF_STUDY,other,GPA,SURVYEAR
8,"1,3,4",5,5,2,4,1,5,2,2,16,1,,10,,6,2026
5,"1,3",4,4,2,1,1,3,4,1,3,1,1,11,,7,2026
8,"1,3,4",4,4,3,3,3,4,4,2,15,1,1,12,political science,7,2026
7,"1,3,4",2,3,5,5,5,4,3,1,15,2,1,7,,6,2026
6,"1,3,4",5,5,4,5,3,3,5,2,3,1,2,1,,8,2026
8,"1,3,4",5,3,4,4,4,4,3,3,12,1,2,1,,9,2026
5,"2,3",3,3,3,3,3,3,3,2,12,2,2,3,,7,2026
2,"1,3,4",4,3,4,4,3,5,5,1,12,2,2,12,Engineering,8,2026
9,"1,4",3,2,4,4,3,3,4,1,11,1,2,2,,8,2026
6,"1,4",3,5,5,4,3,3,2,3,12,2,2,5,,8,2026
9,1,1,1,1,1,1,1,1,1,1,2,1,4,,7,2026
9,"1,3",3,4,4,4,4,3,4,1,12,2,1,7,,9,2026
10,"1,3,4",3,2,2,1,1,1,3,1,2,2,1,1,,8,2026
6,"2,3,4",2,3,3,2,3,2,5,2,14,4,,4,,7,2026
5,3,2,3,2,3,3,3,3,2,4,2,2,3,,2,2026
6,"1,3",2,4,4,4,3,3,3,2,12,2,1,6,,9,2026
3,"1,5",3,3,4,5,3,5,4,1,12,1,1,1,,8,2026
8,"1,3,4",2,4,4,5,5,4,5,1,16,2,1,1,,8,2026
6,"1,3,4",3,1,3,2,3,2,3,3,3,1,1,11,,7,2026
7,"1,3",3,4,4,4,3,4,3,1,12,2,2,1,,7,2026
8,"1,3,4",4,5,4,4,2,4,4,2,16,1,2,1,,7,2026
4,"1,2",4,2,4,2,1,1,1,1,3,2,1,12,Chemical engineering ,6,2026
5,2,3,2,3,1,3,2,4,3,15,1,2,5,,7,2026
8,"3,4",4,4,2,1,3,3,3,3,15,2,1,9,,8,2026
0,1,3,4,1,4,3,2,1,4,14,1,2,2,,8,2026
9,3,4,4,4,4,3,3,4,2,3,1,2,9,,8,2026
9,3,2,2,2,1,2,3,3,4,2,1,,12,Not a Student,8,2026
9,"1,2",4,5,4,2,2,3,5,2,2,1,,10,,9,2026
9,1,4,3,4,5,2,3,3,3,15,1,1,9,,9,2026
10,"1,2,3,4",4,4,4,4,4,5,5,1,2,1,4,12,Computer Science ,6,2026
10,"1,2",1,1,4,4,4,3,2,1,2,2,5,2,,8,2026
6,3,3,3,4,3,3,4,4,3,8,1,1,9,,8,2026
10,"1,3,4",4,5,5,5,4,5,4,1,16,2,4,8,,8,2026
5,1,2,2,3,4,2,1,1,3,12,1,4,12,Sociology ,7,2026
8,"1,3,4",3,5,4,4,3,3,4,2,1,2,4,6,,8,2026
10,1,4,5,5,5,5,4,1,1,1,2,1,8,,7,2026
6,"1,3,4",3,4,3,3,2,3,4,3,16,1,1,12,architecture ,7,2026
4,5,3,4,2,3,4,3,5,2,16,1,5,12,Law,9,2026
9,"1,2,3",4,4,5,4,4,5,5,1,5,2,5,1,,8,2026
7,"3,4",4,2,3,2,4,4,4,4,11,2,4,3,,8,2026
9,"1,2,4",4,5,4,5,5,5,4,1,1,2,4,12,Videogames  Engineering,7,2026
10,"1,2,3,4,5",4,1,5,5,5,4,5,2,2,2,4,12,Industrial Engineering,9,2026
7,1,4,4,3,5,4,4,5,1,5,1,4,12,Physics,8,2026
9,"1,2,3,4",4,5,5,5,5,5,5,2,16,2,5,12,Mathematics,9,2026
6,5,3,4,3,3,3,4,4,3,16,1,4,12,Phsycology,7,2026
7,"1,2",4,4,5,4,3,3,3,1,16,2,4,2,,8,2026
5,5,3,3,4,4,4,3,2,3,16,1,2,12,Law,9,2026
7,1,4,3,3,4,5,5,5,1,16,2,4,4,,7,2026
6,5,3,3,2,3,4,3,3,2,15,2,4,5,,6,2026
8,2,4,4,5,4,4,4,4,2,9,1,4,7,,8,2026
2,5,3,3,3,2,2,3,4,3,16,1,4,12,Law,6,2026
3,5,2,3,3,2,2,2,2,3,15,1,4,10,,7,2026
5,1,4,4,3,4,4,4,4,1,16,1,4,7,,9,2026
8,"1,2",4,4,4,3,5,5,5,1,1,2,4,5,,7,2026
6,1,4,4,5,5,5,2,4,3,5,2,4,3,,8,2026
6,"1,2",3,4,4,4,5,4,5,1,1,2,4,12,Piano,8,2026
4,5,3,2,3,3,4,4,3,3,16,1,4,11,,7,2026
6,"1,3",3,4,2,5,1,3,3,4,15,1,1,1,,7,2026
7,"1,3,4",5,5,5,5,5,5,5,1,15,2,1,5,,6,2026
7,"1,2",4,3,4,5,3,4,4,1,2,1,4,1,,8,2026
8,"1,2,3,4,5",5,4,5,4,3,3,4,1,8,2,1,5,,9,2026
6,"1,3,4",1,2,3,3,2,1,3,3,8,2,1,11,,8,2026
8,"1,3,4",4,5,4,2,1,5,5,2,15,1,1,1,,7,2026
10,"1,2,3,4",5,2,2,4,4,3,4,1,16,1,1,9,,8,2026
6,"1,4",4,4,4,5,3,1,5,1,11,2,,1,,8,2026
2,4,4,4,4,4,4,4,3,1,2,1,,11,,9,2026
7,"1,4",2,1,4,3,2,3,3,3,16,2,,12,You’re assuming everyone went to college,8,2026
1,"1,3,4",5,1,1,1,5,3,1,2,16,1,,10,,7,2026
4,"1,4",4,3,4,4,2,4,5,2,16,1,,9,,8,2026
5,"1,4",5,4,3,4,1,4,4,2,16,2,,9,,8,2026
5,"1,2,3,4",4,3,4,4,2,4,4,3,2,1,4,12,Biopsychology,8,2026
10,"1,2,3,4",1,4,5,5,5,5,5,4,5,2,,12,Computer Science,6,2026
7,"1,3,4",5,4,4,4,2,5,5,2,15,1,,9,,8,2026
10,"1,3,4",2,3,2,3,4,3,3,3,12,1,2,1,,7,2026
5,"1,2,4",3,4,2,2,2,3,2,1,15,4,2,4,,5,2026
5,3,3,3,3,3,3,3,3,2,12,1,1,1,,7,2026
5,3,4,3,4,4,4,3,4,2,5,1,1,1,,7,2026
7,"3,4",3,3,3,3,3,3,3,2,5,1,1,2,,8,2026
7,"1,3,4",3,4,4,4,4,4,3,2,12,1,1,5,,7,2026
5,"1,4",2,4,3,3,1,3,2,1,1,1,4,12,,8,2026
10,"1,2,4",3,5,5,3,3,5,5,1,16,2,,2,,8,2026
7,"1,3",4,5,4,5,3,3,5,2,,1,3,,,7,2026
7,"1,2",4,4,5,5,5,2,3,1,,1,4,,,7,2026
8,"1,3,4",3,4,3,5,2,4,3,1,,1,1,,,7,2026
8,"1,3",4,2,3,3,3,4,3,1,,2,1,,,7,2026
8,"1,2,3,4",4,4,5,4,4,5,5,1,3,1,,12,Computer Science,8,2026
10,"1,2,3,4",4,5,5,4,4,5,5,1,16,2,,12,Computer Science,8,2026
7,"1,2,3,4",3,1,3,4,4,3,4,3,,1,,,,7,2026
9,"1,2,3,4",5,4,3,3,3,2,3,3,,2,,,,7,2026
10,"1,2,3,4",3,5,4,1,3,1,3,4,2,2,,,,7,2026
7,"1,2,4",4,3,4,4,3,1,4,3,16,2,4,2,,8,2026
8,"1,3,4",5,4,4,5,5,5,5,1,15,2,1,12,Political Science,8,2026
8,"1,3,4",5,5,4,5,5,5,5,1,2,2,1,12,Biology,7,2026
9,"1,2,3",5,5,5,5,4,4,5,4,15,2,1,12,Computer Science,7,2026
8,"1,2,3,4",4,5,4,4,5,4,3,1,3,2,1,5,,7,2026
7,"1,3,4",5,5,5,5,5,5,4,4,12,2,1,1,,7,2026
7,"3,4",5,5,5,4,4,4,3,2,2,2,3,12,Biology,8,2026
8,"1,4",5,5,5,5,5,5,3,2,15,2,1,5,,6,2026
8,"1,2,3,4",4,4,5,5,5,4,5,1,15,2,1,5,,6,2026
8,"3,4",4,4,4,5,5,5,2,1,12,2,1,12,Chemistry,8,2026
3,5,4,4,2,3,2,3,5,3,,2,1,,,7,2026
7,"1,3",3,4,4,4,4,4,3,1,,2,1,,,7,2026
6,"1,3,4",2,2,2,4,4,3,2,2,,2,1,,,7,2026
8,"1,3,4",5,4,2,5,5,4,5,2,15,2,1,1,,8,2024
8,"1,3,4",5,3,3,4,4,4,4,2,12,1,1,4,,8,2024
7,"1,3,4",4,4,4,5,3,4,3,1,2,1,1,1,,8,2024
6,1,3,2,4,5,2,3,4,,11,2,,5,,8,2024
10,"1,2",4,5,4,5,3,3,5,1,12,2,1,2,,8,2024
6,1,3,5,5,5,4,3,3,1,8,2,1,1,,8,2024
9,"1,3,4",2,4,4,5,3,3,3,1,12,1,2,8,,8,2024
7,"1,3,4",2,4,4,4,4,2,4,1,2,2,1,5,,9,2024
8,"1,2,3",1,1,5,5,4,3,4,1,10,1,2,,,8,2024
7,"1,2,3,4",2,4,5,5,5,3,4,1,5,1,1,8,,9,2024
8,"1,3,4",2,3,5,5,2,1,3,1,12,2,4,5,,8,2024
2,"1,3",4,4,3,3,2,5,4,2,3,1,2,9,,8,2024
8,"1,3,4",4,5,4,2,1,1,4,3,5,1,1,4,,7,2024
6,"1,3,4",2,2,5,5,5,3,3,1,2,2,2,,,9,2024
10,"1,3,4",3,3,4,4,3,3,4,3,2,1,1,9,,7,2024
8,"1,2,3,4",4,4,4,5,5,4,5,2,15,1,5,12,Engineering ,7,2024
5,5,3,4,3,3,3,4,5,2,12,1,5,1,,8,2024
8,"1,3,4",3,3,3,3,3,3,3,1,15,2,2,9,,7,2024
3,1,4,4,2,3,3,1,5,1,6,2,5,12,Sociology ,7,2024
7,"1,3,4",4,4,3,3,3,3,4,2,2,1,4,12,It ,9,2024
9,"1,3,4",3,4,3,4,2,4,4,2,12,1,1,1,,7,2024
7,1,4,2,4,4,4,3,4,1,3,1,1,1,,9,2024
3,"4,5",4,5,5,5,5,1,2,3,12,1,2,12,Medicine,8,2024
7,"1,2,3",2,5,3,3,4,1,4,1,2,2,1,1,,9,2024
7,"1,3",4,3,4,4,3,4,5,1,12,2,,,,7,2024
10,"1,2,3,4",3,4,5,5,4,3,5,1,11,1,,7,,7,2024
7,"1,2,4",5,1,1,4,1,4,5,3,11,1,,5,,8,2024
10,"1,3",3,3,4,5,4,2,3,1,8,1,2,4,,7,2024
10,1,5,4,5,5,5,5,4,3,14,1,4,4,,9,2024
8,"1,2,3,4",3,3,3,3,3,3,3,3,12,1,1,4,,8,2024
10,1,4,4,4,5,5,2,4,1,12,1,,5,,8,2024
3,3,3,3,4,3,4,4,3,3,12,1,5,4,,7,2024
5,"1,3,4",3,4,4,3,4,1,4,3,5,2,2,10,,2,2024
7,"1,2,3",4,4,4,4,4,3,3,1,5,2,2,1,,7,2024
7,"1,3",2,4,4,5,3,5,4,1,12,2,,12,Engineering,7,2024
7,"1,3,4",4,4,4,5,4,4,4,1,8,2,5,1,,8,2024
5,1,2,3,3,3,3,3,3,3,3,1,1,4,,7,2024
7,"1,3,4",2,4,4,4,4,4,4,1,15,2,2,1,,8,2024
9,"1,2,3",3,5,5,5,4,5,4,1,8,2,1,5,,7,2024
5,"1,3,4",5,4,3,4,4,4,3,1,8,1,2,12,Science ,8,2024
9,"2,4",4,4,4,4,4,2,3,1,12,1,5,11,,8,2024
9,"1,2",2,4,4,5,3,4,5,1,5,2,4,,,8,2024
10,"1,3,4",4,5,2,2,2,2,4,3,2,1,,1,,8,2024
8,"1,3",3,2,4,3,2,1,3,3,12,2,,12,Neuroscience,8,2024
6,"1,3,4",3,4,4,5,4,4,4,1,3,1,1,9,,8,2024
8,"1,3,4",3,2,4,5,3,2,4,3,12,2,1,4,,6,2024
8,"1,3,4",4,4,3,5,4,3,5,1,12,2,,5,,7,2024
10,"1,2",2,2,4,3,1,4,3,1,9,6,5,1,,,2024
7,"3,4",5,5,3,3,3,5,5,2,8,1,1,2,,7,2024
9,"1,3,4",2,4,4,3,4,3,5,1,15,1,1,12,I donâ€™t know yet,9,2024
8,1,4,4,4,5,4,3,2,4,8,2,5,6,,7,2024
7,"1,3",3,3,3,4,2,2,3,2,5,,1,12,Admin of justice ,7,2024
6,"1,3",2,2,5,5,3,3,4,1,11,2,5,7,,8,2024
6,"1,3,4",2,4,5,5,4,3,4,1,12,1,4,12,Architecture,8,2024
9,"1,2",2,3,4,5,4,4,5,1,5,2,2,12,Computer science ,8,2024
5,1,3,3,3,3,3,3,3,1,3,6,2,2,,7,2024
5,"1,3,4",3,5,4,4,2,3,5,1,5,2,1,5,,8,2024
5,"1,3,4",2,2,5,5,4,3,4,1,3,1,5,8,,8,2024
10,"1,2,4",2,2,4,5,5,3,4,3,10,1,,12,Engineering,7,2024
7,"1,3",4,2,4,5,3,3,2,1,8,1,4,5,,7,2024
5,"1,4",4,2,4,4,3,3,5,1,15,1,4,10,,9,2024
5,"1,2,3,4",4,5,5,5,5,3,1,2,12,2,2,2,,8,2024
9,"1,2,3,4",1,1,1,5,3,4,5,1,12,1,4,2,,7,2024
9,"1,2",3,4,5,5,4,1,5,1,5,2,4,12,Computer Science ,7,2024
5,"3,5",4,4,2,3,2,3,5,3,12,1,1,11,,8,2024
5,3,2,2,3,3,3,3,3,3,12,2,2,9,,6,2024
5,"1,3,4",4,5,4,3,2,3,5,2,12,2,5,2,,7,2024
6,"1,3,4",3,4,5,5,5,4,3,1,8,2,,1,,7,2024
5,1,3,4,2,4,4,3,3,1,6,1,4,10,,8,2024
3,"1,3,4",4,5,2,5,4,4,5,3,15,1,5,9,,7,2024
8,"1,2,3,4",4,2,3,3,3,2,4,2,2,1,1,12,English,7,2024
6,"1,3",2,2,3,3,3,3,3,1,5,2,4,12,Exercise science,7,2024
6,"1,3,4",4,5,5,3,4,2,5,2,5,1,1,12,,9,2024
3,"1,3,4",4,5,3,3,3,4,5,2,2,1,,12,Biology for Pre-Med,8,2024
4,"1,3,4",4,4,4,4,5,3,3,3,12,2,2,7,,6,2024
8,"1,3,4",3,3,3,3,3,3,3,1,2,1,4,4,,5,2024
5,1,4,3,3,3,3,3,3,1,12,2,2,1,,7,2024
5,"1,4",4,4,4,4,4,3,4,1,12,1,2,12,Justice Studies,7,2024
8,"1,2,3",2,4,5,5,1,4,3,4,12,2,4,6,,7,2024
8,"1,3,4",4,4,5,5,5,3,4,1,3,2,,1,,7,2024
6,"1,2",4,3,4,5,3,4,5,1,11,1,5,1,,8,2024
8,"1,2,3,4",4,4,4,4,5,4,4,3,12,6,4,,,8,2024
2,"1,4",2,4,4,4,3,3,3,3,15,2,2,8,,7,2024
7,"1,2,4",3,4,4,5,3,3,4,1,11,6,5,,,9,2024
7,"1,2,3,4",3,4,4,5,2,4,3,1,5,1,,9,,8,2024
9,"1,3,4",3,4,4,5,3,3,3,1,12,2,1,5,,7,2024
7,"1,4",2,2,5,5,4,3,2,1,6,1,,,,8,2024
5,"1,3,4",4,5,,5,5,4,5,2,6,1,5,9,,7,2024
9,"1,2,3,4",1,4,5,5,5,3,5,1,11,2,,7,,7,2024
9,"1,3",4,4,4,4,3,2,2,1,12,2,1,5,,7,2024
5,"1,2,3,4",5,2,3,4,3,4,4,2,11,1,4,5,,7,2024
6,"1,3,4",4,5,5,4,3,4,5,1,13,1,5,1,,7,2024
7,"1,3,4",3,4,4,4,3,4,3,3,12,2,,7,,8,2024
4,4,4,5,4,5,3,2,2,1,12,2,1,7,,7,2024
10,1,3,1,4,4,1,1,1,3,8,2,5,1,,8,2024
5,"1,3",3,2,2,2,1,1,3,3,12,1,2,12,Nursing ,,2024
3,"1,3,4",4,4,2,4,2,3,5,2,12,1,1,12,Biochemistry ,9,2024
10,"1,2,4",4,4,3,3,5,3,5,1,15,2,2,10,,8,2024
4,"1,3,4",3,4,5,4,4,3,3,1,3,2,1,11,,7,2024
4,"1,3,4",3,4,3,5,4,2,4,1,12,1,2,5,,7,2024
5,"1,3,4",4,4,5,4,4,4,5,1,12,2,,,,6,2024
8,"1,2,3,4",2,4,3,4,2,3,3,1,12,1,4,9,,7,2024
6,"1,3,4",3,3,4,4,3,3,3,1,2,1,2,4,,8,2024
9,"1,3,4",4,4,4,4,4,2,,1,2,2,1,1,,6,2024
4,"1,4",3,2,4,3,2,3,2,1,5,2,,1,,6,2024
7,"1,4",3,2,2,5,3,3,4,1,15,2,2,2,N/A,7,2024
8,1,3,4,3,4,3,4,4,3,2,1,1,8,,6,2024
2,1,3,1,3,3,3,3,3,3,3,1,2,,,7,2024
7,"1,2,3",4,5,1,3,1,5,3,2,2,1,5,9,,7,2024
6,4,3,3,2,2,3,4,2,4,6,1,,2,,7,2024
7,2,2,3,4,2,4,4,3,2,12,1,1,1,,6,2024
9,"1,3,4",4,4,4,4,3,4,,3,2,,1,2,,8,2024
9,"1,3,4",4,4,4,4,4,4,2,1,2,1,2,12,Computer Science ,8,2024
9,"1,2,3,4",4,4,4,3,3,4,3,1,5,2,2,5,,7,2024
7,"1,3",2,1,5,5,4,3,3,1,12,2,1,,,8,2024
3,"2,3",2,2,2,5,2,,2,3,2,2,1,4,,7,2024
5,"1,4",4,1,2,3,3,4,5,2,15,2,,1,,6,2024
6,"1,3",5,5,4,4,3,4,5,2,15,1,2,7,,8,2024
7,1,1,2,2,2,3,3,3,3,12,1,4,10,,6,2024
3,3,1,1,3,2,2,3,2,2,8,1,2,7,,7,2024
6,1,1,2,3,3,3,3,5,2,12,1,1,8,,7,2024
5,"1,4",2,4,4,4,4,5,5,1,1,2,1,5,,8,2024
6,1,2,3,3,2,2,3,3,3,3,1,2,2,,6,2024
7,3,4,4,5,2,2,2,2,1,12,1,1,4,,6,2024
2,3,1,1,1,1,1,1,2,3,6,1,2,1,,8,2024
6,"1,3,4",2,3,5,5,3,4,2,1,2,2,,,,8,2024
6,1,4,4,4,4,4,4,5,4,4,1,,2,,7,2024
5,"1,3,4",3,4,4,4,3,1,2,1,12,1,1,,Public health,7,2024
5,3,4,4,4,4,4,4,3,2,12,2,4,1,,7,2024
10,1,3,5,5,5,3,3,5,1,15,2,5,5,,9,2024
7,1,5,3,2,4,1,1,2,3,12,1,1,10,,9,2024
6,"1,3,4",4,4,4,4,4,5,4,3,12,1,5,8,,8,2024
8,"1,3,4",3,4,3,3,3,3,3,1,12,1,,12,Anthropology ,8,2024
7,"1,3",4,4,4,4,4,4,4,1,4,2,1,12,Engineering ,6,2024
10,"1,2,3,4",3,3,3,3,3,3,3,4,8,2,1,1,,7,2024
9,"1,3,4",4,4,2,4,3,4,3,1,12,1,1,1,,8,2024
3,3,4,4,4,5,4,5,5,3,4,1,1,12,Engineering,6,2024
5,"1,3,4",2,3,3,4,4,4,3,1,12,,,4,,9,2024
